næring (SN2007),2017,2018,2019,2020,2021
Annen tjenesteyting,15221.0,14024.0,14396.0,13155.0,16598.0
Bergverksdrift og utvinning,30222.0,32178.0,33857.0,37698.0,36637.0
Bygge- og anleggsvirksomhet,192711.0,194252.0,198845.0,216359.0,220220.0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning",,,,,15546.0
"Faglig, vitenskapelig og teknisk tjenesteyting",98845.0,104685.0,107960.0,108593.0,115289.0
Forretningsmessig tjenesteyting,99718.0,106654.0,109863.0,98464.0,100138.0
Helse- og sosialtjenester,,,,,
Industri,203658.0,197596.0,206075.0,201389.0,198604.0
Informasjon og kommunikasjon,78415.0,81711.0,87143.0,87617.0,91659.0
"Kultur, underholdning og fritid",,,,,
Omsetning og drift av fast eiendom,15724.0,15294.0,19846.0,21320.0,20066.0
Overnattings- og serveringsvirksomhet,71243.0,60938.0,72433.0,67140.0,66659.0
Transport og lagring,111481.0,108427.0,111611.0,109916.0,110238.0
Undervisning,,,,,
"Vann, avløp, renovasjon",8705.0,8281.0,8895.0,8882.0,9120.0
"Varehandel, reparasjon av motorvogner",261130.0,258759.0,262298.0,269736.0,276532.0
