næring (SN2007),2017,2018,2019,2020,2021
Annen tjenesteyting,21472.0,21822.0,21675.0,21115.0,21473.0
Bergverksdrift og utvinning,33454.0,35383.0,38883.0,39273.0,64464.0
Bygge- og anleggsvirksomhet,226076.0,235647.0,242000.0,242557.0,246500.0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning",,,,,17284.0
"Faglig, vitenskapelig og teknisk tjenesteyting",123093.0,128275.0,131312.0,130216.0,134043.0
Forretningsmessig tjenesteyting,133234.0,142049.0,147913.0,124767.0,125872.0
Helse- og sosialtjenester,,,,,100239.0
Industri,217542.0,219178.0,220767.0,217917.0,216831.0
Informasjon og kommunikasjon,92832.0,95999.0,100855.0,97608.0,101903.0
"Kultur, underholdning og fritid",,,,,19562.0
Omsetning og drift av fast eiendom,26323.0,26268.0,26523.0,25951.0,25966.0
Overnattings- og serveringsvirksomhet,116230.0,118725.0,121052.0,94698.0,90534.0
Transport og lagring,140550.0,139441.0,141333.0,129187.0,126808.0
Undervisning,,,,,27317.0
"Vann, avløp, renovasjon",9366.0,9295.0,9760.0,9789.0,9809.0
"Varehandel, reparasjon av motorvogner",381290.0,384857.0,382233.0,364579.0,369451.0
